Time_Index,None,waste_biomass,west_south_central_coal,west_south_central_naturalgas,west_south_central_uranium,west_south_central_distillate,hydrogen,west_south_central_naturalgas_ccs90
0,0.0,0.0,0.09552,0.05306,0.0,0.07315,0.0,0.00531
1,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
2,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
3,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
4,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
5,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
6,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
7,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
8,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
9,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
10,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
11,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
12,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
13,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
14,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
15,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
16,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
17,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
18,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
19,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
20,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
21,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
22,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
23,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
24,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
25,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
26,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
27,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
28,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
29,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
30,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
31,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
32,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
33,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
34,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
35,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
36,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
37,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
38,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
39,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
40,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
41,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
42,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
43,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
44,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
45,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
46,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
47,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
48,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
49,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
50,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
51,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
52,0.0,1.0,1.77,3.59,0.72,18.59,16.0,3.59
