Period,FixCost,NetworkExpCost,UnmetCapReqCost
1.0,1.839042560659722e11,1.5245674118763387e9,0.0
2.0,1.5162093460593103e11,8.021192083557988e8,0.0
3.0,1.8961328867175214e11,2.764687811881428e8,0.0
