Resource,Zone,ExistingCap_MW,EndCap_MW_p1,EndCap_MW_p2,EndCap_MW_p3,Cap_Size_MW,RetCap_p1,RetCap_p2,RetCap_p3,NewCap_p1,NewCap_p2,NewCap_p3
TRE_WEST_onshore_wind_turbine_1,3,25996.2,25996.2,25996.2,25996.2,184.37,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_petroleum_liquids_1,3,58.9,58.9,58.9,58.9,0.63,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_solar_photovoltaic_1,3,9871.6,9871.6,9871.6,9871.6,176.28,0.0,0.0,0.0,0.0,0.0,0.0
SPPS_distributed_generation_1,1,1620.0,1620.0,1620.0,1620.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_distributed_generation_1,2,5518.0,5518.0,5518.0,5518.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_distributed_generation_1,3,300.0,300.0,300.0,300.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SPPS_naturalgas_ccccsavgcf_conservative_0,1,0.0,0.026816904297829132,0.4577275649055038,0.966786125760194,500.0,0.0,1.656852008352014e-6,5.5901043403208645e-5,5.3633808595658265e-5,0.0008634781732237014,0.001074018165112589
SPPS_naturalgas_ccavgcf_moderate_0,1,0.0,0.0050702485551522465,0.029933048742420296,0.04702898367305875,500.0,0.0,2.690585604243013e-6,2.0119387129849555e-5,1.0140497110304494e-5,5.241618597877911e-5,5.431125699112646e-5
SPPS_naturalgas_ctavgcf_moderate_0,1,0.0,0.001604037248555474,0.0057581608845546865,0.005029374596887969,100.0,0.0,7.739116390525044e-6,4.146487525803781e-5,1.604037248555474e-5,4.928035275051717e-5,3.4177012381370636e-5
SPPS_battery_moderate_0,1,0.0,500.18313282108517,2706.1743045474245,6723.6019804312,1.0,0.0,0.004429545138385763,500.18913977157916,500.1831328210851,2205.9956012714774,4517.616815655354
SPPS_nuclear_nuclear_moderate_0,1,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0
SPPS_hydrogen_ctavgcf_moderate_0,1,0.0,0.0014902455352243658,0.005267793303354183,0.004453082955987017,100.0,0.0,7.181711003077514e-6,3.8153643083441207e-5,1.4902455352243657e-5,4.495718868437568e-5,3.0006539609769557e-5
SPPS_hydrogen_ccavgcf_moderate_0,1,0.0,0.0012739661641859937,0.004684097142918824,0.004040405728754035,500.0,0.0,1.2179451374418234e-6,6.725099348858771e-6,2.5479323283719874e-6,8.038207094907483e-6,5.4377165205291926e-6
SPPS_landbasedwind_class3_moderate_0,1,0.0,9833.123309890247,18187.479600926777,24126.108320366944,1.0,0.0,0.0013870151670550166,9833.124859177864,9833.123309890247,8354.357678051698,15771.75357861803
