Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
5000.0,1.0,1.0,1.0,5000.0,52.0,168.0,168.0,1,13533.247454687074,39494.05271392585,1846.722564018914
,,,,,,,168.0,2,11648.64269908365,37846.08500322159,1770.486325634646
,,,,,,,168.0,3,11335.712053129277,37153.998746139456,1740.393073640856
,,,,,,,168.0,4,11177.240764472894,36621.393235254516,1723.3402308443751
,,,,,,,168.0,5,11071.927566315173,36370.637345007366,1719.327797245203
,,,,,,,168.0,6,11108.034948540677,36515.07273778973,1733.371314842305
,,,,,,,168.0,7,11368.81048683599,37241.261795945466,1772.492542434232
,,,,,,,168.0,8,11684.750081309156,38730.751784013526,1857.756756416637
,,,,,,,168.0,9,11963.57931071722,39170.07610372653,1869.794057214153
,,,,,,,168.0,10,12189.250449626623,40245.3173611063,1921.9556940033892
,,,,,,,168.0,11,12438.993176686365,41348.643278193755,1969.1017887936603
,,,,,,,168.0,12,12477.106524591063,41921.36973151824,1996.1857155880712
,,,,,,,168.0,13,12590.443585465564,41752.861773272154,1973.114222392832
,,,,,,,168.0,14,12700.771697821272,41799.00085707763,1972.1111139930392
,,,,,,,168.0,15,12508.198992618582,41183.14439063064,1942.0178619992491
,,,,,,,168.0,16,12488.139335826634,40464.97952096281,1898.8842008081501
,,,,,,,168.0,17,12567.374980154826,40243.311313984326,1885.8437916108412
,,,,,,,168.0,18,12913.404059815912,40630.47840852592,1906.9090680064942
,,,,,,,168.0,19,13667.64715519312,42942.44771660463,2017.2509919837241
,,,,,,,168.0,20,14827.09531776766,46995.66592655953,2198.8136123462573
,,,,,,,168.0,21,14910.34289345424,47657.661476812005,2230.9130811396335
,,,,,,,168.0,22,14744.850724920678,47352.74231427147,2215.8664551427382
,,,,,,,168.0,23,14437.937976003886,46783.02493162995,2189.7856367481204
,,,,,,,168.0,24,13869.246705952188,45364.74961639208,2128.5960243607474
,,,,,,,168.0,25,13200.257151940754,43458.001826952765,2044.3349187781353
,,,,,,,168.0,26,12533.273563608514,41556.26915531839,1950.0427291975932
,,,,,,,168.0,27,12330.67103000985,41190.165555557556,1942.0178619992491
,,,,,,,168.0,28,12326.65909865146,41367.70072585254,1956.0613795963511
,,,,,,,168.0,29,12447.017039403143,42084.862571959384,1999.1950407874501
,,,,,,,168.0,30,12727.852234490401,43473.0471803676,2071.418845572546
,,,,,,,168.0,31,13370.764234672304,46188.23195996371,2205.8353711448085
,,,,,,,168.0,32,14231.323511046832,50270.537853187285,2424.5130022996823
